"year"|"congress"|"title"|"abstract"|"link"|"tags"
"1997"|"14C3"|"TCP/IP für Anfängerz (Referent: Jan Haul)"|"Protokolle: IP, TCP, UDP, ICMP Routing, Adressen Funktionsweisen: DNS, Ethernet / Firewall (grob)"|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"CCC Erfa Kreise Treffen & Koordination (Leitung: Frank Rieger)"|"Die Erfahrungs-Austausch-Kreise des Chaos Computer Club treffen sich zum jährlichen Austausch organisatorischer Informationen. Insbesonder soll für noch nicht organisierte die Erfa-Struktur vorgestellt werden und der Aufbau neuer Erfa-Kreise koordiniert werden."|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"Konzepte von Information und Kommunikation (Referent: Hendrik Fulda)"|"Wie kommuniziere ich wann mit wem warum worüber Kommunikationsformen der Zukunft Welche Eigenschaften haben einzelne Kommunikationsformen? Welche Aspekte hat Kommunikation? Wodurch ist individuelles Kommunikationsverhalten bestimmt? Welche Möglichkeiten zur quantitativen und qualitativen Erfassung sind vorstellbar? Wie visualisiere ich die erfassten Daten, welche Aussagen kann ich auf ihrer Basis treffen?"|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"Anfängerz und Grundlagen Verschlüsselung (Referent: Andreas Bogk)"|"Protokolle und Algorithmen: Symetrische und asymmetrische Verschluesselung Herstellung digitaler Signaturen IDEA, RSA, DES Schluesselaengen"|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"ISDN für Anfängerz (Referent: Hartmut Schröder)"|"- Anfängerz Historie ISDN - Unterschiede weltweiter Standarts (D-Kanal Signalling) - B-Kanal Aufbau, Aufzucht und Pflege"|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"DIRC-Konzept (Referent: Winrich Hoseit)"|"Digital Inter Relay Communication - Ein in die Luft gehängtes, geordnetes breitbandiges Internetfunksystem, daß für jede Art digitaler Datenkommunikation verwendbar ist. Nur die Intelligenz der Endgeräte bestimmt die Qualität. Ein neuronales, sich selbst steuerndes, dezentrales lernendes Netz."|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"Geschichte der Netzkultur in Deutschland (Referent: padeluun)"|"Geschichte und Geschichten der Vernetzung und der Netzkultur in Deutschland - nicht um der Anekdoten willen, sondern mit Blick nach vorn. Ein Aufruf, gemeinsam die Essenz aus mehr als einem Jahrzent Netzarbeit herauszudestillieren und für die Zukunft nutzbar machen."|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"Packet-Radio Anfängerz (Referent: Henning Heedfeld)"|"Was ist Amateurfunk ? Frequenzbereiche, Betriebsarten, Was ist Packet-Radio ? Rechtsfragen Vorstellung des Bielefelder Wireless-LAN mit 19k2"|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"Realitätsabgleich & Rückblick 1997"|"Die CCC-Sprecher Frank Rieger, Hendrik Fulda und Andy Müller-Maguhn berichten von Ereignissen, Veranstaltungen, Aktivitten und Entwicklungen des Jahres 1997 um so einen Chaos-Realitätsabgleich zu gewährleisten. Fragen und Beiträge aus dem Publikum sind explizit erwünscht."|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
"1997"|"14C3"|"Film & Diskussion ""hackzs"" (mit der Autorin Christine Bader)"|""|"https://events.ccc.de/congress/1997/CongressFahrplan.html"|""
