"year"|"congress"|"title"|"abstract"|"link"|"tags"
"1987"|"4C3"|"Chaos-Café: Frühstück und Kaffee"|""|""|""
"1987"|"4C3"|"hackz-Center: Die Welt am Draht"|""|""|""
"1987"|"4C3"|"Congressredaktion: Infos für alle"|""|""|""
"1987"|"4C3"|"Archiv: ohne Papier gahts nicht"|""|""|""
"1987"|"4C3"|"Eröffnungsansprache durch CCC & BHP"|""|""|""
"1987"|"4C3"|"Der NASA-hackz und seine Hintergründe"|""|""|""
"1987"|"4C3"|"Vortrag: securityzsloch in VMS"|""|""|""
"1987"|"4C3"|"Medienworkshop: Teil 1."|""|""|""
"1987"|"4C3"|"Vorstellung: Stuttgarter Computer Club"|""|""|""
"1987"|"4C3"|"hackz & Staat: Polizei & CCC"|""|""|""
"1987"|"4C3"|"Vorstellung: Links Mailbox München"|""|""|""
"1987"|"4C3"|"'Gefährdung der Medienfreiheit...'"|""|""|""
"1987"|"4C3"|"Computervirenz im Ausblick"|""|""|""
"1987"|"4C3"|"Offene Netze: jetzt (Podium)"|""|""|""
"1987"|"4C3"|"Referat: 'Speicherkarten im Intimbereich'"|""|""|""
"1987"|"4C3"|"Mailboxvernetzung: Serversystem in Berlin"|""|""|""
"1987"|"4C3"|"Mailboxvernetzung: BTXNET, eine neue Idee"|""|""|""
"1987"|"4C3"|"ISDN: ..."|""|""|""
"1987"|"4C3"|"BTXNET: Arbeitgruppe (Teil 1.)"|""|""|""
"1987"|"4C3"|"Verschlüsselung mit DES und RSA"|""|""|""
"1987"|"4C3"|"Mailboxkopplung an UUCP und NEWS"|""|""|""
"1987"|"4C3"|"BTXNET: Arbeitgruppe (Teil 2.)"|""|""|""
"1987"|"4C3"|"Workshop: Mediengerechtes Publizieren"|""|""|""
"1987"|"4C3"|"BTX: Stand der Dinge"|""|""|""
"1987"|"4C3"|"Abschlussansprache"|""|""|""
"1987"|"4C3"|"Übernahme der Räume vom Nachtdienstbis"|""|""|""
"1987"|"4C3"|"Abbau, aufräumen..."|""|""|""
"1987"|"4C3"|"Übergabe der Räume ans Bürgerhaus anchl. Ruhe!"|""|""|""
