"year"|"congress"|"title"|"abstract"|"link"|"tags"
"1985"|"2C3"|"[Die Entwicklung von Mailbox als Medium und die Zukunft der Vernetzung]"|""|"https://web.archive.org/web/20061208062857/http://events.ccc.de/congress/1985/"|""
"1985"|"2C3"|"[Freunde aus anderen Ländern (bisher: AU, CH, F, GS, S, USA) Anfängerz über Entwicklungen in ihrem Land.]"|""|"https://web.archive.org/web/20061208062857/http://events.ccc.de/congress/1985/"|""
"1985"|"2C3"|"[Der CCC erörtert die preisgünstigste Datenverbindung der Welt: den Datenfunk.]"|""|"https://web.archive.org/web/20061208062857/http://events.ccc.de/congress/1985/"|""
