"year"|"congress"|"title"|"abstract"|"link"|"tags"
"1989"|"6C3"|"[Wie koennen Heimcomputer und Datenfernuebertragung fuer den Umweltschutz genutzt werden?]"|""|"http://www.offiziere.ch/trust-us/ds/32/012_feminines_computerhandling.html"|""
"1989"|"6C3"|"[securityz in offenen Datennetzen]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"[KGB-hackz ""Hagbard""]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"[feminines Computerhandling]"|""|"http://www.offiziere.ch/trust-us/ds/32/012_feminines_computerhandling.html"|""
"1989"|"6C3"|"[Zusammenarbeit mit ostdeutschen Computerfreaks]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"[Informationen ueber Computerisierung und Netzwerkinfrastruktur in der DDR]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"[hackzethik und Harper's hackz Conference]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"[Copyright; freie Informationsuebermittlung]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"[UNIX zur Diskussion: mehrere Arbeitsgruppen; UUCP]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"[virenz II]"|""|"https://web.archive.org/web/20060521101403/http://events.ccc.de/congress/1989/"|""
"1989"|"6C3"|"Workshop Braintech und Mindmachines"|"Beim, dem Workshop Mindmachines werden d Teilnehmer mit den unbekannten Tiefen ihres G hirns konfrontiert. Sie erhalten eine Brille mit innen angebrachten Leuchtdioden und einen Kopfhörer. Durch die Leuchtdioden für den optischen und den Kopfhörer für den akustischen Input werden periodische Signale unterschiedlicher Frequenz gesendet. Die optischen und akustischen Signale laufen dabei phasensynchron. Durch das Fehlen störender anderer Reize werden die gehirneigen Wellen angeregt und legen im Verstand der Teilnehmer neue Strukturen frei. Bei den Standardprogrammen wird mit Frequenzen von etwa 15 Hz begonnen, die dann nach und nach auf 4 Hz abgesenkt werden. Dann ist die Frequenz der alpha-Gehirnwellen erreicht, die für den Zustand von Entspannung stehen. Durch die von außen auf gezwungene Taktfrequenz beginnen sich auch die Gehirnwellen auf diesen Zustand auszurichten und vermitteln dem Testteilnehmer Ruhe und Entspannung. "|"http://www.offiziere.ch/trust-us/ds/32/012_feminines_computerhandling.html"|""
